layer_name;method;run0;run1;run2;run3;run4;mean;median
model.model.layers.14.self_attn.q_proj;Ours;0.11980800330638885;0.11980800330638885;0.11878400295972824;0.11980800330638885;0.12099199742078781;0.11984000355005264;0.11980800330638885
model.model.layers.14.self_attn.k_proj;Sputnik;0.12595200538635254;0.12595200538635254;0.12492799758911133;0.12595200538635254;0.12588800489902496;0.12573440372943878;0.12595200538635254
model.model.layers.14.self_attn.k_proj;Ours;0.12083200365304947;0.1207680031657219;0.11980800330638885;0.11776000261306763;0.12185599654912949;0.12020480632781982;0.1207680031657219
model.model.layers.14.self_attn.v_proj;Sputnik;0.14131200313568115;0.14131200313568115;0.14131200313568115;0.14028799533843994;0.14028799533843994;0.14090240001678467;0.14131200313568115
model.model.layers.14.self_attn.v_proj;Ours;0.0870399996638298;0.08614400029182434;0.08793599903583527;0.08700799942016602;0.0870399996638298;0.08703359216451645;0.0870399996638298
model.model.layers.14.self_attn.o_proj;Sputnik;0.16076800227165222;0.16076800227165222;0.1608320027589798;0.16076800227165222;0.16076800227165222;0.16078081727027893;0.16076800227165222
model.model.layers.14.self_attn.o_proj;Ours;0.11980800330638885;0.12083200365304947;0.11894399672746658;0.11977600306272507;0.12083200365304947;0.12003840506076813;0.11980800330638885
model.model.layers.14.mlp.gate_proj;Sputnik;0.43724799156188965;0.436383992433548;0.4362240135669708;0.4362240135669708;0.4362240135669708;0.43646079301834106;0.4362240135669708
model.model.layers.14.mlp.gate_proj;Ours;0.3102720081806183;0.3092480003833771;0.3091840147972107;0.3080640137195587;0.3092159926891327;0.309196799993515;0.3092159926891327
model.model.layers.14.mlp.up_proj;Sputnik;0.41574400663375854;0.41494399309158325;0.41574400663375854;0.41471999883651733;0.4147840142250061;0.41518720984458923;0.41494399309158325
model.model.layers.14.mlp.up_proj;Ours;0.30822399258613586;0.3101760149002075;0.30720001459121704;0.3081279993057251;0.30720001459121704;0.3081856071949005;0.3081279993057251
model.model.layers.14.mlp.down_proj;Sputnik;0.3891200125217438;0.3891200125217438;0.392192006111145;0.3882560133934021;0.3901439905166626;0.3897663950920105;0.3891200125217438
model.model.layers.14.mlp.down_proj;Ours;0.2252800017595291;0.22227199375629425;0.2252800017595291;0.22310400009155273;0.2242559939622879;0.22403840720653534;0.2242559939622879
model.model.layers.15.self_attn.q_proj;Sputnik;0.13523200154304504;0.13619199395179749;0.13516800105571747;0.13433599472045898;0.13619199395179749;0.13542398810386658;0.13523200154304504
model.model.layers.15.self_attn.q_proj;Ours;0.12595200538635254;0.12675200402736664;0.12390399724245071;0.12390399724245071;0.12595200538635254;0.1252928078174591;0.12595200538635254
model.model.layers.15.self_attn.k_proj;Sputnik;0.12511999905109406;0.12515200674533844;0.12492799758911133;0.12595200538635254;0.12492799758911133;0.12521599233150482;0.12511999905109406
model.model.layers.15.self_attn.k_proj;Ours;0.12403199821710587;0.1228799968957901;0.12390399724245071;0.12185599654912949;0.12390399724245071;0.12331519275903702;0.12390399724245071
model.model.layers.15.self_attn.v_proj;Sputnik;0.13926400244235992;0.14006400108337402;0.1401599943637848;0.14022399485111237;0.13926400244235992;0.1397951990365982;0.14006400108337402
model.model.layers.15.self_attn.v_proj;Ours;0.09932799637317657;0.1013759970664978;0.09932799637317657;0.09920000284910202;0.09932799637317657;0.09971199929714203;0.09932799637317657
model.model.layers.15.self_attn.o_proj;Sputnik;0.16383999586105347;0.16390399634838104;0.16383999586105347;0.16383999586105347;0.16383999586105347;0.16385279595851898;0.16383999586105347
model.model.layers.15.self_attn.o_proj;Ours;0.1157120019197464;0.1157120019197464;0.11772800236940384;0.11577600240707397;0.11664000153541565;0.11631359905004501;0.11577600240707397
model.model.layers.15.mlp.gate_proj;Sputnik;0.4270080029964447;0.4280320107936859;0.4280320107936859;0.42691200971603394;0.4270080029964447;0.4273983836174011;0.4270080029964447
model.model.layers.15.mlp.gate_proj;Ours;0.28387200832366943;0.2877439856529236;0.28672000765800476;0.28777599334716797;0.28672000765800476;0.2865664064884186;0.28672000765800476
model.model.layers.15.mlp.up_proj;Sputnik;0.41676801443099976;0.4179840087890625;0.4177919924259186;0.41676801443099976;0.41596800088882446;0.41705599427223206;0.41676801443099976
model.model.layers.15.mlp.up_proj;Ours;0.2916800081729889;0.29078400135040283;0.289792001247406;0.3020800054073334;0.29183998703956604;0.2932352125644684;0.2916800081729889
model.model.layers.15.mlp.down_proj;Sputnik;0.40140798687934875;0.40140798687934875;0.40140798687934875;0.40140798687934875;0.4023999869823456;0.40160638093948364;0.40140798687934875
model.model.layers.15.mlp.down_proj;Ours;0.2457599937915802;0.2467840015888214;0.2467840015888214;0.24780799448490143;0.2467840015888214;0.2467840015888214;0.2467840015888214
model.model.layers.16.self_attn.q_proj;Sputnik;0.131071999669075;0.1321599930524826;0.130048006772995;0.13209599256515503;0.13097600638866425;0.1312703937292099;0.131071999669075
model.model.layers.16.self_attn.q_proj;Ours;0.11488000303506851;0.1157120019197464;0.11366400122642517;0.11366400122642517;0.11164800077676773;0.11391361057758331;0.11366400122642517
model.model.layers.16.self_attn.k_proj;Sputnik;0.12492799758911133;0.12492799758911133;0.12495999783277512;0.2539840042591095;0.12511999905109406;0.1507839858531952;0.12495999783277512
model.model.layers.16.self_attn.k_proj;Ours;0.11776000261306763;0.11894399672746658;0.1228799968957901;0.1196800023317337;0.11776000261306763;0.11940479278564453;0.11894399672746658
model.model.layers.16.self_attn.v_proj;Sputnik;0.14028799533843994;0.14028799533843994;0.14025600254535675;0.14028799533843994;0.13929599523544312;0.1400831937789917;0.14028799533843994
model.model.layers.16.self_attn.v_proj;Ours;0.09523200243711472;0.09836799651384354;0.09932799637317657;0.09932799637317657;0.09728000313043594;0.09790720045566559;0.09836799651384354
model.model.layers.16.self_attn.o_proj;Sputnik;0.16076800227165222;0.16076800227165222;0.1599999964237213;0.17510400712490082;0.16172799468040466;0.16367360949516296;0.16076800227165222
model.model.layers.16.self_attn.o_proj;Ours;0.11964800208806992;0.11980800330638885;0.12080000340938568;0.11980800330638885;0.12163200229406357;0.12033919990062714;0.11980800330638885
model.model.layers.16.mlp.gate_proj;Sputnik;0.4352000057697296;0.4352000057697296;0.4342080056667328;0.4359680116176605;0.4362240135669708;0.43536001443862915;0.4352000057697296
model.model.layers.16.mlp.gate_proj;Ours;0.27215999364852905;0.2744640111923218;0.27535998821258545;0.2754560112953186;0.27238398790359497;0.2739647924900055;0.2744640111923218
model.model.layers.16.mlp.up_proj;Sputnik;0.4106239974498749;0.41280001401901245;0.41142401099205017;0.4126720130443573;0.4116480052471161;0.41183361411094666;0.4116480052471161
model.model.layers.16.mlp.up_proj;Ours;0.2754560112953186;0.27750399708747864;0.27852800488471985;0.2805759906768799;0.27852800488471985;0.27811840176582336;0.27852800488471985
model.model.layers.16.mlp.down_proj;Sputnik;0.3899199962615967;0.3891200125217438;0.3901439905166626;0.3891200125217438;0.3892799913883209;0.38951677083969116;0.3892799913883209
model.model.layers.16.mlp.down_proj;Ours;0.24166400730609894;0.2396160066127777;0.2396160066127777;0.24063999950885773;0.24063999950885773;0.24043521285057068;0.24063999950885773
model.model.layers.17.self_attn.q_proj;Sputnik;0.13014400005340576;0.13209599256515503;0.131071999669075;0.131071999669075;0.131071999669075;0.1310911923646927;0.131071999669075
model.model.layers.17.self_attn.q_proj;Ours;0.11382400244474411;0.11270400136709213;0.11468800157308578;0.11366400122642517;0.11366400122642517;0.11370880901813507;0.11366400122642517
model.model.layers.17.self_attn.k_proj;Sputnik;0.13619199395179749;0.1372160017490387;0.13817599415779114;0.13926400244235992;0.1372160017490387;0.13761278986930847;0.1372160017490387
model.model.layers.17.self_attn.k_proj;Ours;0.11878400295972824;0.11980800330638885;0.12070400267839432;0.11878400295972824;0.12083200365304947;0.11978240311145782;0.11980800330638885
model.model.layers.17.self_attn.v_proj;Sputnik;0.14233599603176117;0.15462400019168854;0.14230400323867798;0.14233599603176117;0.14150400459766388;0.14462080597877502;0.14233599603176117
model.model.layers.17.self_attn.v_proj;Ours;0.09830400347709656;0.09932799637317657;0.09638399630784988;0.09932799637317657;0.09616000205278397;0.09790079295635223;0.09830400347709656
model.model.layers.17.self_attn.o_proj;Sputnik;0.16489599645137787;0.16486400365829468;0.16499200463294983;0.1658879965543747;0.16502399742603302;0.1651327908039093;0.16499200463294983
model.model.layers.17.self_attn.o_proj;Ours;0.12185599654912949;0.12185599654912949;0.1218239963054657;0.12083200365304947;0.12179200351238251;0.12163200229406357;0.1218239963054657
model.model.layers.17.mlp.gate_proj;Sputnik;0.42188799381256104;0.419840008020401;0.4220159947872162;0.42188799381256104;0.4208959937095642;0.4213055968284607;0.42188799381256104
model.model.layers.17.mlp.gate_proj;Ours;0.2773439884185791;0.27830401062965393;0.27955201268196106;0.27852800488471985;0.2764799892902374;0.2780415713787079;0.27830401062965393
model.model.layers.17.mlp.up_proj;Sputnik;0.408735990524292;0.40755200386047363;0.4065279960632324;0.4065279960632324;0.4065279960632324;0.40717440843582153;0.4065279960632324
model.model.layers.17.mlp.up_proj;Ours;0.26521599292755127;0.26521599292755127;0.26316800713539124;0.26419198513031006;0.26604801416397095;0.26476800441741943;0.26521599292755127
model.model.layers.17.mlp.down_proj;Sputnik;0.3901439905166626;0.39027199149131775;0.3891200125217438;0.39107200503349304;0.38995200395584106;0.3901119828224182;0.3901439905166626
model.model.layers.17.mlp.down_proj;Ours;0.2457599937915802;0.24665600061416626;0.2457599937915802;0.2457599937915802;0.2457599937915802;0.24593918025493622;0.2457599937915802
model.model.layers.18.self_attn.q_proj;Sputnik;0.131071999669075;0.131071999669075;0.130048006772995;0.131071999669075;0.1319040060043335;0.13103359937667847;0.131071999669075
model.model.layers.18.self_attn.q_proj;Ours;0.1157120019197464;0.11673600226640701;0.1157120019197464;0.11462400108575821;0.1157120019197464;0.11569920927286148;0.1157120019197464
model.model.layers.18.self_attn.k_proj;Sputnik;0.12595200538635254;0.12595200538635254;0.12572799623012543;0.12800000607967377;0.1258240044116974;0.1262912005186081;0.12595200538635254
model.model.layers.18.self_attn.k_proj;Ours;0.11574400216341019;0.11961600184440613;0.11875200271606445;0.11366400122642517;0.11468800157308578;0.11649279296398163;0.11574400216341019
model.model.layers.18.self_attn.v_proj;Sputnik;0.14534400403499603;0.1443839967250824;0.1443839967250824;0.1454080045223236;0.14457599818706512;0.1448192149400711;0.14457599818706512
model.model.layers.18.self_attn.v_proj;Ours;0.10444799810647964;0.10556799918413162;0.1066880002617836;0.10751999914646149;0.10444799810647964;0.10573439300060272;0.10556799918413162
model.model.layers.18.self_attn.o_proj;Sputnik;0.158720001578331;0.158720001578331;0.1589760035276413;0.1595200002193451;0.15964800119400024;0.15911681950092316;0.1589760035276413
