layer_name;empty_rows_perc;empty_cols_perc;max_empty_perc;sparsity_perc;rows;cols
model.model.layers.8.mlp.down_proj;0.0;33.43931579589844;33.43931579589844;0.5999986515488736;4096;11008
model.model.layers.9.self_attn.q_proj;28.271484375;0.0244140625;28.271484375;0.5999982357025146;4096;4096
model.model.layers.9.self_attn.k_proj;23.3642578125;0.0244140625;23.3642578125;0.5999982357025146;4096;4096
model.model.layers.9.self_attn.v_proj;0.341796875;24.0478515625;24.0478515625;0.5999982357025146;4096;4096
model.model.layers.9.self_attn.o_proj;0.3173828125;41.11328125;41.11328125;0.5999982357025146;4096;4096
model.model.layers.9.mlp.gate_proj;27.398256301879883;0.0;27.398256301879883;0.5999986515488736;11008;4096
model.model.layers.9.mlp.up_proj;13.699128150939941;0.0;13.699128150939941;0.5999986515488736;11008;4096
model.model.layers.9.mlp.down_proj;0.0;26.735103607177734;26.735103607177734;0.5999986515488736;4096;11008
model.model.layers.10.self_attn.q_proj;24.12109375;0.0244140625;24.12109375;0.5999982357025146;4096;4096
model.model.layers.10.self_attn.k_proj;15.8447265625;0.0244140625;15.8447265625;0.5999982357025146;4096;4096
model.model.layers.10.self_attn.v_proj;0.1708984375;4.98046875;4.98046875;0.5999982357025146;4096;4096
model.model.layers.10.self_attn.o_proj;0.6103515625;38.9892578125;38.9892578125;0.5999982357025146;4096;4096
model.model.layers.10.mlp.gate_proj;31.595203399658203;0.0;31.595203399658203;0.5999986515488736;11008;4096
model.model.layers.10.mlp.up_proj;16.56068229675293;0.0;16.56068229675293;0.5999986515488736;11008;4096
model.model.layers.10.mlp.down_proj;0.0;29.342296600341797;29.342296600341797;0.5999986515488736;4096;11008
model.model.layers.11.self_attn.q_proj;27.734375;0.0244140625;27.734375;0.5999982357025146;4096;4096
model.model.layers.11.self_attn.k_proj;26.8798828125;0.0244140625;26.8798828125;0.5999982357025146;4096;4096
model.model.layers.11.self_attn.v_proj;0.2197265625;9.4970703125;9.4970703125;0.5999982357025146;4096;4096
model.model.layers.11.self_attn.o_proj;0.3173828125;41.5771484375;41.5771484375;0.5999982357025146;4096;4096
model.model.layers.11.mlp.gate_proj;32.976016998291016;0.0;32.976016998291016;0.5999986515488736;11008;4096
model.model.layers.11.mlp.up_proj;19.113372802734375;0.0;19.113372802734375;0.5999986515488736;11008;4096
model.model.layers.11.mlp.down_proj;0.0;33.112281799316406;33.112281799316406;0.5999986515488736;4096;11008
model.model.layers.12.self_attn.q_proj;25.7080078125;0.0244140625;25.7080078125;0.5999982357025146;4096;4096
model.model.layers.12.self_attn.k_proj;26.4892578125;0.0244140625;26.4892578125;0.5999982357025146;4096;4096
model.model.layers.12.self_attn.v_proj;0.0732421875;41.40625;41.40625;0.5999982357025146;4096;4096
model.model.layers.12.self_attn.o_proj;2.5634765625;30.6640625;30.6640625;0.5999982357025146;4096;4096
model.model.layers.12.mlp.gate_proj;34.520347595214844;0.0;34.520347595214844;0.5999986515488736;11008;4096
model.model.layers.12.mlp.up_proj;23.855377197265625;0.0;23.855377197265625;0.5999986515488736;11008;4096
model.model.layers.12.mlp.down_proj;0.0;33.112281799316406;33.112281799316406;0.5999986515488736;4096;11008
model.model.layers.13.self_attn.q_proj;30.3955078125;0.0244140625;30.3955078125;0.5999982357025146;4096;4096
model.model.layers.13.self_attn.k_proj;29.58984375;0.0244140625;29.58984375;0.5999982357025146;4096;4096
model.model.layers.13.self_attn.v_proj;0.4150390625;28.02734375;28.02734375;0.5999982357025146;4096;4096
