Model Name;Maximum Empty Rows (%);Maximum Empty Column (%);Mean Maximum Empty Row or Column
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-29305;98.225;96.7529296875;67.61080761466407
restart_7b-gsm8k-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0003_alpha16-lr0.0003-epochs3-wu20-seed42-14460;94.95625;80.15079941860465;20.262557897286825
restart_7b-sql-rosa_wl64_d0.009_1grads_mean_r8_loralr0.0004_alpha16-lr0.0004-epochs1-wu20-seed42-19273;94.903125;89.794921875;42.6926224765827
restart_7b-viggo-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-21953;99.5375;98.779296875;75.36771844718992
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0003_alpha16-lr0.0003-epochs3-wu20-seed42-9511;97.89375;96.71148255813954;58.69088971656974
restart_7b-viggo-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-3798;99.10624999999999;97.28379360465115;61.651886648094326
restart_7b-gsm8k-rosa_wl64_d0.012_8grads_mean_squared_r32_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-19135;93.58125000000001;83.15770348837209;27.22005658510982
restart_7b-gsm8k-rosa_wl64_d0.003_8grads_mean_squared_r8_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-28046;95.075;96.484375;58.53463061208011
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_squared_r32_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-18887;96.46875;85.0109011627907;27.128660166343668
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0007_alpha16-lr0.0002-epochs1-wu20-seed42-16905;97.5;94.03161337209302;40.94162275920544
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0007_alpha16-lr0.0002-epochs1-wu20-seed42-8859;96.46875;85.0109011627907;27.128660166343668
restart_7b-sql-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-31840;92.11875;83.87536337209302;39.405343871124025
restart_7b-gsm8k-rosa_wl64_d0.006_8grads_mean_squared_r16_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-13265;94.425;88.90806686046511;41.137765624999986
restart_7b-viggo-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-9843;92.115625;82.8857421875;24.11969680636306
restart_7b-viggo-rosa_wl64_d0.0045_1grads_mean_r4_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-31021;98.059375;96.44803779069767;52.55887893653101
restart_7b-gsm8k-rosa_wl64_d0.003_8grads_mean_r8_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-1555;95.075;96.484375;58.53463061208011
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-16030;96.46875;85.0109011627907;27.128660166343668
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-542;96.37187499999999;85.11991279069767;26.873546148255816
restart_7b-gsm8k-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0007_alpha16-lr0.0002-epochs3-wu20-seed42-8853;98.1875;98.9990234375;73.77852137839147
restart_7b-viggo-rosa_wl64_d0.0045_1grads_mean_r4_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-27301;90.090625;92.3583984375;54.42357531895994
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r16_loralr0.0003_alpha16-lr0.0003-epochs3-wu20-seed42-27422;97.496875;94.140625;41.79007513727391
restart_7b-viggo-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-21868;99.06875000000001;97.18386627906976;61.85359588985791
restart_7b-gsm8k-rosa_wl64_d0.012_32grads_mean_r32_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-10470;89.62187499999999;84.79287790697676;25.838814740794568
restart_7b-viggo-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-6866;91.60312499999999;79.58757267441861;25.12565293927648
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-3904;98.81875;95.61228197674419;64.43638588097548
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-10816;98.790625;96.826171875;64.77594565568478
restart_7b-gsm8k-rosa_wl64_d0.012_8grads_mean_r32_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-32519;93.58125000000001;83.15770348837209;27.22005658510982
restart_7b-sql-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-9009;86.53125;78.88808139534885;31.393440528100776
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-12571;98.76875000000001;96.2158203125;67.41346552002581
restart_7b-sql-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-24721;88.265625;80.810546875;28.402206173288103
restart_7b-viggo-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0001_alpha16-lr0.0001-epochs3-wu20-seed42-13797;89.99374999999999;80.47783430232558;25.184199854651155
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0003_alpha16-lr0.0003-epochs3-wu20-seed42-7478;97.471875;93.65915697674419;42.35032669169895
restart_7b-viggo-rosa_wl64_d0.006_1grads_mean_r16_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-32761;98.040625;95.77579941860465;45.79348603036177
restart_7b-sql-rosa_wl64_d0.0045_1grads_mean_r4_loralr0.0004_alpha16-lr0.0004-epochs1-wu20-seed42-16794;97.965625;95.703125;56.36643021237082
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0007_alpha16-lr0.0003-epochs3-wu20-seed42-30686;97.909375;96.53888081395348;59.48026390907623
restart_7b-viggo-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-28520;99.5375;98.974609375;75.18970144945088
restart_7b-sql-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-29581;87.4375;79.06976744186046;31.542605176033593
